"PIC","SITE","DEPTH","LABEL_corrected","Count"
"MKN9155","IUI_N","35","Astreopora",1
"MKN8971","IUI_S","35","Astreopora",2
"MKN8976","IUI_S","35","Astreopora",1
"MKN9287","JG","35","Astreopora",1
"MKN9301","JG","35","Astreopora",1
"MKN9108","IUI_N","45","Astreopora",2
"MKN9111","IUI_N","45","Astreopora",3
"MKN9120","IUI_N","45","Astreopora",2
"MKN9121","IUI_N","45","Astreopora",1
"MKN9123","IUI_N","45","Astreopora",2
"MKN9126","IUI_N","45","Astreopora",3
"MKN9254","JG","45","Astreopora",4
"MKN9261","JG","45","Astreopora",4
"MKN9266","JG","45","Astreopora",8
"MKN9277","JG","45","Astreopora",1
"MKN9278","JG","45","Astreopora",9
"MKN9279","JG","45","Astreopora",3
"MKN9281","JG","45","Astreopora",1
"MKN9317","JG","25","Blastomussa",3
"MKN9138","IUI_N","35","Blastomussa",1
"MKN9100","IUI_N","45","Blastomussa",1
"MKN9102","IUI_N","45","Blastomussa",1
"MKN9115","IUI_N","45","Blastomussa",1
"MKN9255","JG","45","Blastomussa",1
"MKN9087","IUI_S","5","Coscinaraea",2
"MKN9331","JG","25","Coscinaraea",4
"MKN9276","JG","45","Coscinaraea",1
"MKN8976","IUI_S","35","Cynarina",1
"MKN9087","IUI_S","5","Cyphastrea",3
"MKN9091","IUI_S","5","Cyphastrea",1
"MKN9093","IUI_S","5","Cyphastrea",1
"MKN9375","JG","5","Cyphastrea",1
"MKN9381","JG","5","Cyphastrea",1
"MKN9382","JG","5","Cyphastrea",1
"MKN9390","JG","5","Cyphastrea",1
"MKN9391","JG","5","Cyphastrea",1
"MKN9393","JG","5","Cyphastrea",1
"MKN9396","JG","5","Cyphastrea",2
"MKN9401","JG","5","Cyphastrea",1
"MKN9191","IUI_N","15","Cyphastrea",1
"MKN9197","IUI_N","15","Cyphastrea",1
"MKN9059","IUI_S","15","Cyphastrea",1
"MKN9353","JG","15","Cyphastrea",1
"MKN9358","JG","15","Cyphastrea",1
"MKN9313","JG","25","Cyphastrea",1
"MKN9329","JG","25","Cyphastrea",1
"MKN9341","JG","25","Cyphastrea",1
"MKN9304","JG","35","Cyphastrea",1
"MKN9311","JG","35","Cyphastrea",1
"MKN9122","IUI_N","45","Cyphastrea",2
"MKN9127","IUI_N","45","Cyphastrea",1
"MKN8956","IUI_S","45","Cyphastrea",1
"MKN9263","JG","45","Cyphastrea",1
"MKN9232","IUI_N","5","Dipsastraea",1
"MKN9234","IUI_N","5","Dipsastraea",2
"MKN9235","IUI_N","5","Dipsastraea",1
"MKN9070","IUI_S","5","Dipsastraea",1
"MKN9078","IUI_S","5","Dipsastraea",1
"MKN9080","IUI_S","5","Dipsastraea",1
"MKN9084","IUI_S","5","Dipsastraea",1
"MKN9085","IUI_S","5","Dipsastraea",1
"MKN9086","IUI_S","5","Dipsastraea",1
"MKN9096","IUI_S","5","Dipsastraea",1
"MKN9374","JG","5","Dipsastraea",2
"MKN9384","JG","5","Dipsastraea",1
"MKN9391","JG","5","Dipsastraea",1
"MKN9196","IUI_N","15","Dipsastraea",1
"MKN9201","IUI_N","15","Dipsastraea",1
"MKN9202","IUI_N","15","Dipsastraea",1
"MKN9203","IUI_N","15","Dipsastraea",2
"MKN9208","IUI_N","15","Dipsastraea",1
"MKN9209","IUI_N","15","Dipsastraea",2
"MKN9215","IUI_N","15","Dipsastraea",2
"MKN9216","IUI_N","15","Dipsastraea",1
"MKN9218","IUI_N","15","Dipsastraea",2
"MKN9219","IUI_N","15","Dipsastraea",1
"MKN9222","IUI_N","15","Dipsastraea",2
"MKN9224","IUI_N","15","Dipsastraea",1
"MKN9037","IUI_S","15","Dipsastraea",1
"MKN9050","IUI_S","15","Dipsastraea",1
"MKN9051","IUI_S","15","Dipsastraea",3
"MKN9060","IUI_S","15","Dipsastraea",1
"MKN9342","JG","15","Dipsastraea",1
"MKN9343","JG","15","Dipsastraea",1
"MKN9358","JG","15","Dipsastraea",4
"MKN9359","JG","15","Dipsastraea",6
"MKN9360","JG","15","Dipsastraea",5
"MKN9363","JG","15","Dipsastraea",1
"MKN9364","JG","15","Dipsastraea",2
"MKN9366","JG","15","Dipsastraea",1
"MKN9367","JG","15","Dipsastraea",3
"MKN9369","JG","15","Dipsastraea",1
"MKN9168","IUI_N","25","Dipsastraea",1
"MKN9169","IUI_N","25","Dipsastraea",1
"MKN9170","IUI_N","25","Dipsastraea",1
"MKN9171","IUI_N","25","Dipsastraea",2
"MKN9173","IUI_N","25","Dipsastraea",2
"MKN9005","IUI_S","25","Dipsastraea",1
"MKN9008","IUI_S","25","Dipsastraea",1
"MKN9014","IUI_S","25","Dipsastraea",1
"MKN9016","IUI_S","25","Dipsastraea",1
"MKN9023","IUI_S","25","Dipsastraea",1
"MKN9024","IUI_S","25","Dipsastraea",1
"MKN9027","IUI_S","25","Dipsastraea",1
"MKN9319","JG","25","Dipsastraea",1
"MKN9335","JG","25","Dipsastraea",1
"MKN9142","IUI_N","35","Dipsastraea",2
"MKN8968","IUI_S","35","Dipsastraea",1
"MKN8971","IUI_S","35","Dipsastraea",2
"MKN8972","IUI_S","35","Dipsastraea",2
"MKN8975","IUI_S","35","Dipsastraea",1
"MKN8976","IUI_S","35","Dipsastraea",1
"MKN8978","IUI_S","35","Dipsastraea",2
"MKN8986","IUI_S","35","Dipsastraea",2
"MKN8987","IUI_S","35","Dipsastraea",1
"MKN8988","IUI_S","35","Dipsastraea",1
"MKN8990","IUI_S","35","Dipsastraea",1
"MKN9002","IUI_S","35","Dipsastraea",2
"MKN9283","JG","35","Dipsastraea",2
"MKN9300","JG","35","Dipsastraea",3
"MKN9302","JG","35","Dipsastraea",1
"MKN9305","JG","35","Dipsastraea",1
"MKN9306","JG","35","Dipsastraea",1
"MKN9105","IUI_N","45","Dipsastraea",1
"MKN9108","IUI_N","45","Dipsastraea",1
"MKN9109","IUI_N","45","Dipsastraea",2
"MKN9110","IUI_N","45","Dipsastraea",1
"MKN9111","IUI_N","45","Dipsastraea",3
"MKN9114","IUI_N","45","Dipsastraea",1
"MKN9115","IUI_N","45","Dipsastraea",2
"MKN9116","IUI_N","45","Dipsastraea",1
"MKN9118","IUI_N","45","Dipsastraea",1
"MKN9119","IUI_N","45","Dipsastraea",2
"MKN9120","IUI_N","45","Dipsastraea",2
"MKN9121","IUI_N","45","Dipsastraea",1
"MKN9124","IUI_N","45","Dipsastraea",1
"MKN9125","IUI_N","45","Dipsastraea",2
"MKN9126","IUI_N","45","Dipsastraea",2
"MKN9127","IUI_N","45","Dipsastraea",1
"MKN9128","IUI_N","45","Dipsastraea",1
"MKN8931","IUI_S","45","Dipsastraea",2
"MKN8946","IUI_S","45","Dipsastraea",1
"MKN8949","IUI_S","45","Dipsastraea",1
"MKN8956","IUI_S","45","Dipsastraea",1
"MKN8957","IUI_S","45","Dipsastraea",2
"MKN8959","IUI_S","45","Dipsastraea",2
"MKN8964","IUI_S","45","Dipsastraea",1
"MKN9252","JG","45","Dipsastraea",1
"MKN9253","JG","45","Dipsastraea",2
"MKN9255","JG","45","Dipsastraea",2
"MKN9256","JG","45","Dipsastraea",1
"MKN9257","JG","45","Dipsastraea",2
"MKN9258","JG","45","Dipsastraea",2
"MKN9259","JG","45","Dipsastraea",3
"MKN9262","JG","45","Dipsastraea",3
"MKN9265","JG","45","Dipsastraea",1
"MKN9267","JG","45","Dipsastraea",2
"MKN9268","JG","45","Dipsastraea",1
"MKN9273","JG","45","Dipsastraea",1
"MKN9276","JG","45","Dipsastraea",2
"MKN9277","JG","45","Dipsastraea",2
"MKN9278","JG","45","Dipsastraea",2
"MKN9226","IUI_N","5","Echinophyllia",1
"MKN9239","IUI_N","5","Echinophyllia",1
"MKN9185","IUI_N","25","Echinophyllia",1
"MKN9007","IUI_S","25","Echinophyllia",1
"MKN9016","IUI_S","25","Echinophyllia",1
"MKN9029","IUI_S","25","Echinophyllia",1
"MKN9328","JG","25","Echinophyllia",1
"MKN9139","IUI_N","35","Echinophyllia",1
"MKN8996","IUI_S","35","Echinophyllia",1
"MKN9292","JG","35","Echinophyllia",2
"MKN9294","JG","35","Echinophyllia",1
"MKN9295","JG","35","Echinophyllia",1
"MKN9100","IUI_N","45","Echinophyllia",1
"MKN9101","IUI_N","45","Echinophyllia",1
"MKN9109","IUI_N","45","Echinophyllia",7
"MKN9111","IUI_N","45","Echinophyllia",10
"MKN9113","IUI_N","45","Echinophyllia",1
"MKN9118","IUI_N","45","Echinophyllia",3
"MKN9121","IUI_N","45","Echinophyllia",4
"MKN9123","IUI_N","45","Echinophyllia",7
"MKN9125","IUI_N","45","Echinophyllia",9
"MKN9126","IUI_N","45","Echinophyllia",2
"MKN9127","IUI_N","45","Echinophyllia",4
"MKN9129","IUI_N","45","Echinophyllia",1
"MKN9253","JG","45","Echinophyllia",1
"MKN9254","JG","45","Echinophyllia",1
"MKN9264","JG","45","Echinophyllia",1
"MKN9270","JG","45","Echinophyllia",1
"MKN9272","JG","45","Echinophyllia",1
"MKN9228","IUI_N","5","Echinopora",1
"MKN9230","IUI_N","5","Echinopora",2
"MKN9233","IUI_N","5","Echinopora",1
"MKN9234","IUI_N","5","Echinopora",1
"MKN9239","IUI_N","5","Echinopora",1
"MKN9250","IUI_N","5","Echinopora",1
"MKN9251","IUI_N","5","Echinopora",1
"MKN9079","IUI_S","5","Echinopora",3
"MKN9081","IUI_S","5","Echinopora",1
"MKN9086","IUI_S","5","Echinopora",3
"MKN9090","IUI_S","5","Echinopora",1
"MKN9372","JG","5","Echinopora",1
"MKN9373","JG","5","Echinopora",2
"MKN9374","JG","5","Echinopora",2
"MKN9375","JG","5","Echinopora",2
"MKN9376","JG","5","Echinopora",5
"MKN9377","JG","5","Echinopora",1
"MKN9379","JG","5","Echinopora",3
"MKN9380","JG","5","Echinopora",2
"MKN9382","JG","5","Echinopora",1
"MKN9383","JG","5","Echinopora",1
"MKN9384","JG","5","Echinopora",1
