"","...1","Species","Colony","depth","Site","File","Time","DATE","TIME","PAR","Depth(m)","T(C)","Battery_V","Dark_Fo","Fm","Fv","fv_fm","Sigma","p","Alp1","Tau1","Alp2","Tau2","Alp3","Tau3","Alp4","Tau4","TauAv1","TauAv2","GAIN","Light_Fo","Fm.1","Fv.1","Fv_Fm.1","Sigma.1","p.1","Alp1.1","Tau1.1","Alp2.1","Tau2.1","Alp3.1","Tau3.1","Alp4.1","Tau4.1","TauAv1.1","TauAv2.1","Pmax.e.s"
"166",166,"Pocillopora",2,25,"IUI south",20220712.17,"N","7/12/2022",35999,812.1,12.8,24.9,15.32,579.1,1036.3,457.2,0.441,353.4,0,0.63,1252,0.21,1274,0.16,69762,"--------","-------",1258,12286,0,1572.2,1749.4,177.2,0.101,224.1,0,0.362,2106,0.633,11094,0.005,50000,"--------","-------",7823,8027,127.8
"167",167,"Pocillopora",2,25,"IUI south",20220712.17,"N","7/12/2022",36012,846.9,12.8,25.1,15.32,420.8,768.1,347.3,0.452,288.1,0.1,0.47,336,0.37,2084,0.16,55992,"--------","-------",1106,10082,0,1045.4,1171.7,126.3,0.108,190.2,0,0.111,2442,0.885,10195,0.004,50000,"--------","-------",9328,9470,107.2
"168",168,"Pocillopora",2,25,"IUI south",20220712.17,"N","7/12/2022",36021,891.3,12.8,25.1,15.32,460.1,812.7,352.6,0.434,311.7,0.08,0.55,525,0.34,3322,0.11,105162,"--------","-------",1607,13104,0,847.9,961.5,113.6,0.118,221.4,0,0.293,1695,0.704,10181,0.003,50000,"--------","-------",7687,7819,130.1
"169",169,"Pocillopora",2,25,"IUI south",20220712.17,"N","7/12/2022",36029,767.5,12.8,25.1,15.32,665.6,1208.6,543,0.449,375.4,0.01,0.55,1152,0.24,1209,0.2,50000,"--------","-------",1170,11172,0,1382.6,1560.8,178.2,0.114,239.2,0,0.097,1894,0.901,7561,0.002,50000,"--------","-------",7007,7079,142.7
"170",170,"Pocillopora",2,25,"IUI south",20220712.17,"N","7/12/2022",36039,837.5,12.8,25.1,15.31,459.9,793.8,333.9,0.421,282.1,0.16,0.63,778,0.16,3460,0.21,60709,"--------","-------",1334,13733,0,913.6,1030.3,116.7,0.113,183.8,0,0.182,1430,0.813,13835,0.005,50000,"--------","-------",11561,11742,86.5
"171",171,"Pocillopora",3,25,"IUI south",20220712.17,"N","7/12/2022",36077,900,13.1,24.9,15.31,588.5,1014.2,425.6,0.42,430.8,0.01,0.7,930,0.18,10211,0.13,75530,"--------","-------",2816,11916,0,968.2,1137.2,169,0.149,320,0,0.544,1762,0.451,8343,0.006,50000,"--------","-------",4745,5006,210.7
"172",172,"Pocillopora",3,25,"IUI south",20220712.17,"N","7/12/2022",36086,900,13.1,24.9,15.31,588.1,978,389.9,0.399,339.8,0.03,0.69,1308,0.23,8769,0.08,624022,"--------","-------",3140,54700,0,885.2,1063.4,178.2,0.168,225.5,0,0.341,908,0.601,6202,0.059,50000,"--------","-------",4287,6967,233.3
"173",173,"Pocillopora",3,25,"IUI south",20220712.17,"N","7/12/2022",36094,900,13.1,24.9,15.31,572.9,932.7,359.8,0.386,323.8,0.02,0.69,1172,0.22,9686,0.09,551393,"--------","-------",3195,54895,0,824.6,990,165.4,0.167,240.7,0,0.706,2696,0.275,17764,0.02,50000,"--------","-------",6916,7763,144.6
"174",174,"Pocillopora",3,25,"IUI south",20220712.17,"N","7/12/2022",36102,900,13.1,25,15.31,567,958.9,391.9,0.409,399.2,0,0.6,890,0.17,2151,0.23,59982,"--------","-------",1160,14697,0,792,948.8,156.8,0.165,250.8,0,0.508,687,0.481,6578,0.011,50000,"--------","-------",3553,4083,281.5
"175",175,"Pocillopora",3,25,"IUI south",20220712.18,"N","7/12/2022",36111,900,13.1,25,15.3,558.5,934.8,376.4,0.403,333,0,0.58,1131,0.19,1131,0.24,51725,"--------","-------",1131,13041,0,786.9,954,167.2,0.175,229.9,0,0.653,2274,0.343,9335,0.004,50000,"--------","-------",4707,4900,212.5
"176",176,"Stylophora",6,25,"IUI south",20220712.18,"N","7/12/2022",36150,874.6,13,24.9,15.29,518.3,850,331.7,0.39,305.1,0.15,0.53,1381,0.2,5599,0.27,69864,"--------","-------",2527,20477,0,897.4,995.6,98.2,0.099,229.7,0,0.3,1518,0.696,9987,0.003,50000,"--------","-------",7436,7584,134.5
"177",177,"Stylophora",6,25,"IUI south",20220712.18,"N","7/12/2022",36158,825.8,13,24.9,15.29,607.8,1001.4,393.6,0.393,305.2,0.08,0.63,1092,0.08,23063,0.29,50000,"--------","-------",3661,17053,0,953.6,1061.5,107.9,0.102,229.7,0,0.169,2276,0.828,11427,0.003,50000,"--------","-------",9878,9993,101.2
"178",178,"Stylophora",6,25,"IUI south",20220712.18,"N","7/12/2022",36169,900,13,24.9,15.29,511.4,833.6,322.2,0.387,283.3,0.14,0.69,1013,0.16,4930,0.15,83443,"--------","-------",1740,14045,0,923.4,1032.1,108.7,0.105,175.5,0.06,0.243,1107,0.752,10830,0.004,50000,"--------","-------",8453,8639,118.3
"179",179,"Stylophora",6,25,"IUI south",20220712.18,"N","7/12/2022",36193,900,13,24.9,15.28,582.5,973.8,391.3,0.402,315.9,0.06,0.54,1410,0.25,1414,0.21,50000,"--------","-------",1411,11519,0,954.1,1068.4,114.2,0.107,202.3,0,0.305,3553,0.69,6727,0.005,50000,"--------","-------",5755,5988,173.8
"180",180,"Stylophora",6,25,"IUI south",20220712.18,"N","7/12/2022",36202,850.9,13,25,15.28,469.6,802.4,332.8,0.415,260.1,0.33,0.53,154,0.38,1992,0.09,50000,"--------","-------",920,5175,0,1032.1,1150.3,118.2,0.103,181.5,0,0.246,1750,0.748,14278,0.006,50000,"--------","-------",11176,11407,89.5
"181",181,"Pocillopora",1,5,"IUI south",20220712.18,"N","7/12/2022",36780,761.2,3.5,26,15.18,823.8,1564.5,740.7,0.473,445.7,0.13,0.49,691,0.32,3468,0.19,65923,"--------","-------",1789,14002,0,1846.5,2046.3,199.9,0.098,394,0.01,0.202,1444,0.796,7484,0.002,50000,"--------","-------",6263,6358,159.7
"182",182,"Pocillopora",1,5,"IUI south",20220712.18,"N","7/12/2022",36810,645.5,3.5,26,15.17,917,1778.7,861.7,0.484,446.8,0.13,0.71,821,0.21,8652,0.08,199267,"--------","-------",2583,18041,0,1715.4,1966.3,251,0.128,287.2,0,0.272,1504,0.725,9016,0.003,50000,"--------","-------",6968,7113,143.5
"183",183,"Pocillopora",1,5,"IUI south",20220712.18,"N","7/12/2022",36830,900,3.5,26,15.17,370,548.6,178.5,0.325,237.1,0.19,0.19,968,0.49,2461,0.32,50000,"--------","-------",2044,17370,0,448.1,547.9,99.8,0.182,189.5,0.12,0.343,3848,0.656,3939,0.002,50000,"--------","-------",3908,3991,255.9
"184",184,"Pocillopora",1,5,"IUI south",20220712.18,"N","7/12/2022",36939,900,3.4,26,15.15,679.4,1165.4,486,0.417,382.9,0.06,0.41,516,0.46,2675,0.13,83851,"--------","-------",1655,12265,0,938.6,1148.1,209.5,0.182,242.7,0,0.474,1661,0.52,5150,0.006,50000,"--------","-------",3486,3775,286.9
"185",185,"Pocillopora",1,5,"IUI south",20220712.19,"N","7/12/2022",37119,900,3.4,26.1,15.12,436.9,718.7,281.8,0.392,274.9,0,0.31,1658,0.47,1664,0.21,71142,"--------","-------",1661,16592,0,716.6,894.1,177.6,0.199,236.4,0,0.707,1877,0.288,9219,0.005,50000,"--------","-------",4002,4233,249.8
"186",186,"Pocillopora",2,5,"IUI south",20220712.19,"N","7/12/2022",37213,900,3.4,26.1,15.11,246.8,338.3,91.5,0.271,199,0.03,0.23,1593,0.33,1947,0.44,51504,"--------","-------",1802,23604,200,252.4,314.6,62.3,0.198,222.9,0,0.858,1589,0.138,8841,0.004,50000,"--------","-------",2595,2768,385.4
"187",187,"Pocillopora",2,5,"IUI south",20220712.19,"N","7/12/2022",37223,900,3.3,26.1,15.1,426.4,673.7,247.4,0.367,300.8,0.11,0.67,1086,0.16,16310,0.17,51448,"--------","-------",4063,12234,0,452.4,570.8,118.4,0.207,211.7,0.03,0.893,2064,0.078,19968,0.029,50000,"--------","-------",3509,4849,285
"188",188,"Pocillopora",2,5,"IUI south",20220712.19,"N","7/12/2022",37234,900,3.3,26.1,15.1,518.3,934.4,416,0.445,346.4,0.14,0.4,984,0.43,4708,0.18,86555,"--------","-------",2911,17713,0,793.1,985.7,192.6,0.195,247.1,0,0.652,2230,0.333,18031,0.015,50000,"--------","-------",7578,8197,132
"189",189,"Pocillopora",2,5,"IUI south",20220712.19,"N","7/12/2022",37247,900,3.4,26.1,15.1,467.9,767,299.1,0.39,308.8,0.05,0.11,2141,0.74,2153,0.15,50000,"--------","-------",2152,9358,0,558.3,701.7,143.4,0.204,212.1,0.02,0.63,1924,0.355,13306,0.015,50000,"--------","-------",6026,6691,165.9
"190",190,"Pocillopora",2,5,"IUI south",20220712.19,"N","7/12/2022",37260,900,3.4,26.1,15.1,466,732.2,266.2,0.364,400.2,0.11,0.29,1768,0.47,3375,0.24,50000,"--------","-------",2765,14318,0,580.9,698.4,117.5,0.168,275.3,0,0.632,2147,0.358,14593,0.01,50000,"--------","-------",6646,7076,150.5
"191",191,"Porites",1,5,"IUI south",20220712.19,"N","7/12/2022",37490,900,3.7,26.1,15.05,362.9,451.3,88.4,0.196,309.7,0.33,0.51,126,0.33,2759,0.16,85605,"--------","-------",1153,14534,0,189.5,408.7,219.2,0.536,239.4,0.45,0.993,214,0.006,2048,0.001,50000,"--------","-------",226,277,4427.6
"192",192,"Porites",1,5,"IUI south",20220712.19,"N","7/12/2022",37499,900,3.6,26.1,15.05,342.4,421.9,79.6,0.189,317.1,0,0.35,1817,0.49,11248,0.16,621302,"--------","-------",7306,108223,0,348.7,391.4,42.7,0.109,273.7,0.01,0.567,1980,0.43,6565,0.003,50000,"--------","-------",3957,4103,252.7
"193",193,"Porites",1,5,"IUI south",20220712.19,"N","7/12/2022",37509,675.4,3.7,26.1,15.05,1058.2,1772,713.8,0.403,552.7,0.21,0.68,1357,0.15,3027,0.17,50000,"--------","-------",1660,9987,0,1626.9,1851.6,224.7,0.121,300.4,0,0.539,1755,0.455,10554,0.006,50000,"--------","-------",5781,6061,173
"194",194,"Porites",1,5,"IUI south",20220712.19,"N","7/12/2022",37523,900,3.7,26.1,15.04,318.3,388.5,70.2,0.181,307.4,0.1,0.36,1490,0.38,6284,0.26,182670,"--------","-------",3936,50602,0,316.4,342.4,26,0.076,272,0.7,0.373,113,0.529,6240,0.097,52586,"--------","-------",3707,8465,269.8
"195",195,"Porites",1,5,"IUI south",20220712.2,"N","7/12/2022",37535,900,3.6,26.1,15.04,387.1,487.3,100.2,0.206,275.1,0,0.12,959,0.58,3765,0.3,65020,"--------","-------",3291,22006,0,405.7,459.2,53.5,0.116,245.7,0,0.632,1528,0.357,21411,0.011,50000,"--------","-------",8700,9146,114.9
"196",196,"Porites",2,5,"IUI south",20220712.2,"N","7/12/2022",37735,350,3.5,26.2,15.02,1377.4,2165.8,788.4,0.364,940.5,0.37,0.52,1326,0.29,1331,0.19,50000,"--------","-------",1328,10465,0,2039.6,2179.2,139.7,0.064,982.1,0,0.649,2875,0.348,8176,0.003,50000,"--------","-------",4726,4878,211.6
"197",197,"Porites",2,5,"IUI south",20220712.2,"N","7/12/2022",37747,697.3,3.4,26.2,15,918,1538.9,620.9,0.403,632.7,0.2,0.65,1066,0.24,5560,0.11,148810,"--------","-------",2259,18502,0,1361.2,1564.7,203.6,0.13,328.7,0,0.782,2131,0.2,7599,0.018,50000,"--------","-------",3244,4075,308.3
"198",198,"Porites",2,5,"IUI south",20220712.2,"N","7/12/2022",37757,728.4,3.5,26.2,15,1132.8,1848.2,715.4,0.387,668.1,0.2,0.57,1334,0.28,1356,0.15,50000,"--------","-------",1341,8785,0,1606.1,1821.4,215.2,0.118,344.3,0,0.677,1836,0.317,9980,0.006,50000,"--------","-------",4434,4717,225.5
"199",199,"Porites",2,5,"IUI south",20220712.2,"N","7/12/2022",37769,509.9,3.5,26.2,15,1208.7,2090,881.3,0.422,659.8,0.27,0.48,1029,0.31,1945,0.21,50000,"--------","-------",1385,11669,0,2138.7,2190.1,51.3,0.023,714.4,0.65,0.681,41,0.316,8130,0.003,50000,"--------","-------",2603,2723,384.1
"200",200,"Porites",2,5,"IUI south",20220712.2,"N","7/12/2022",37782,900,3.4,26.1,14.99,385.6,505.2,119.6,0.237,319,0.11,0.16,2045,0.73,4017,0.12,589625,"--------","-------",3668,72374,0,444.1,511.2,67,0.131,264.1,0,0.637,941,0.358,7933,0.005,50000,"--------","-------",3458,3704,289.2
"201",201,"Stylophora",1,5,"IUI south",20220712.2,"N","7/12/2022",37935,900,3.1,26.1,14.96,459.5,826.9,367.4,0.444,489.4,0.15,0.57,965,0.37,5558,0.06,498535,"--------","-------",2783,34766,0,650.2,766.8,116.6,0.152,305.3,0.04,0.664,2188,0.323,4991,0.013,50000,"--------","-------",3106,3706,321.9
"202",202,"Stylophora",1,5,"IUI south",20220712.2,"N","7/12/2022",37946,900,3.1,26.1,14.96,353.5,570.3,216.8,0.38,346.9,0.17,0.72,1516,0.18,4962,0.09,69389,"--------","-------",2211,8502,0,453.7,561.5,107.9,0.192,254.7,0,0.731,1191,0.262,15979,0.007,50000,"--------","-------",5087,5411,196.6
"203",203,"Stylophora",1,5,"IUI south",20220712.2,"N","7/12/2022",37958,900,3.2,26.1,14.96,637.7,1182.5,544.9,0.461,507.5,0.26,0.3,211,0.57,1893,0.12,50000,"--------","-------",1315,7332,0,1155.6,1324.9,169.3,0.128,365.9,0.01,0.429,1315,0.565,7964,0.006,50000,"--------","-------",5097,5371,196.2
"204",204,"Stylophora",1,5,"IUI south",20220712.2,"N","7/12/2022",37970,900,3.2,26.1,14.95,305,451.1,146.1,0.324,381.4,0.08,0.46,654,0.36,5481,0.18,66478,"--------","-------",2759,13976,0,389.6,463,73.5,0.159,300.5,0,0.761,1911,0.233,12293,0.006,50000,"--------","-------",4348,4608,230
"205",205,"Stylophora",1,5,"IUI south",20220712.21,"N","7/12/2022",37988,900,3.2,26.1,14.95,170,248.1,78.2,0.315,376.9,0.16,0.43,863,0.17,2650,0.4,50000,"--------","-------",1382,20891,300,193.4,229.8,36.3,0.158,301.1,0.22,0.843,1994,0.152,17028,0.005,50000,"--------","-------",4288,4534,233.2
"206",206,"Stylophora",2,5,"IUI south",20220712.21,"N","7/12/2022",38074,900,3.3,26.2,14.93,393.6,563.9,170.3,0.302,436.5,0.01,0.24,1598,0.47,1615,0.29,54005,"--------","-------",1610,17038,0,471.3,546,74.7,0.137,356.6,0.01,0.54,1558,0.456,4984,0.004,50000,"--------","-------",3125,3310,320
"207",207,"Stylophora",2,5,"IUI south",20220712.21,"N","7/12/2022",38086,900,3.3,26.2,14.93,555.2,940.5,385.3,0.41,437.6,0.12,0.45,1432,0.36,1561,0.18,50000,"--------","-------",1489,10417,0,918,1074.7,156.8,0.146,306.1,0,0.633,2174,0.344,13085,0.024,50000,"--------","-------",6014,7063,166.3
"208",208,"Stylophora",2,5,"IUI south",20220712.21,"N","7/12/2022",38096,900,3.3,26.2,14.92,643.7,1145.8,502.1,0.438,549.2,0.19,0.66,1149,0.26,7421,0.08,645973,"--------","-------",2916,56268,0,1193.9,1358.4,164.4,0.121,366.4,0,0.657,2313,0.334,12396,0.009,50000,"--------","-------",5711,6111,175.1
"209",209,"Stylophora",2,5,"IUI south",20220712.21,"N","7/12/2022",38111,900,3.3,26.2,14.92,703.8,1222.2,518.4,0.424,481.2,0.09,0.4,1178,0.41,2291,0.2,63525,"--------","-------",1741,13838,0,1072.4,1243.9,171.5,0.138,338.2,0,0.366,1653,0.6,5754,0.034,50000,"--------","-------",4201,5737,238.1
"210",210,"Stylophora",2,5,"IUI south",20220712.21,"N","7/12/2022",38135,900,3.3,26.2,14.91,345.1,592.1,247.1,0.417,306.8,0.27,0.5,346,0.46,3771,0.04,410288,"--------","-------",1975,17559,0,491.1,625.7,134.6,0.215,216.1,0.02,0.64,1175,0.353,12994,0.007,50000,"--------","-------",5377,5679,186
"211",211,"Stylophora",3,5,"IUI south",20220712.21,"N","7/12/2022",38174,900,3.2,26.1,14.91,668.7,1222.3,553.6,0.453,475.8,0.19,0.7,854,0.24,5761,0.06,487408,"--------","-------",2090,30583,0,1281.1,1505,223.9,0.149,345.2,0,0.465,1148,0.53,7459,0.005,50000,"--------","-------",4511,4753,221.7
"212",212,"Stylophora",3,5,"IUI south",20220712.21,"N","7/12/2022",38208,630,3.3,26.2,14.89,1091.4,2017.3,925.8,0.459,559.2,0.15,0.67,885,0.23,4226,0.11,126435,"--------","-------",1730,15305,0,1954.6,2143.7,189.1,0.088,518.9,0,0.304,1681,0.692,8070,0.004,50000,"--------","-------",6118,6289,163.5
"213",213,"Stylophora",3,5,"IUI south",20220712.21,"N","7/12/2022",38221,900,3.2,26.2,14.89,919.9,1687.1,767.3,0.455,517.7,0.18,0.58,952,0.34,5391,0.08,645973,"--------","-------",2611,54175,0,1544.2,1769.1,225,0.127,374.4,0.01,0.381,1524,0.578,7156,0.04,50000,"--------","-------",4919,6740,203.3
"214",214,"Stylophora",3,5,"IUI south",20220712.21,"N","7/12/2022",38260,900,3.3,26.3,14.88,734.6,1302.2,567.7,0.436,514.2,0.17,0.72,1264,0.2,5168,0.08,571031,"--------","-------",2131,47812,0,1255,1431.3,176.4,0.123,371.4,0,0.411,1392,0.583,6507,0.006,50000,"--------","-------",4392,4654,227.7
"215",215,"Stylophora",3,5,"IUI south",20220712.22,"N","7/12/2022",38276,900,3.3,26.2,14.88,412.5,825.8,413.3,0.5,355.2,0.13,0.56,867,0.37,5031,0.07,547563,"--------","-------",2507,41163,0,989.6,1180.1,190.4,0.161,289.3,0,0.377,1154,0.619,8682,0.004,50000,"--------","-------",5835,6017,171.4
"216",216,"Pocillopora",3,5,"IUI south",20220712.22,"N","7/12/2022",38328,900,3.3,26.2,14.86,591.1,1010.6,419.5,0.415,417.8,0.07,0.47,979,0.4,3368,0.13,107439,"--------","-------",2074,15554,0,947.6,1116,168.4,0.151,288.4,0,0.304,533,0.675,3870,0.022,50000,"--------","-------",2834,3858,352.9
"217",217,"Pocillopora",3,5,"IUI south",20220712.22,"N","7/12/2022",38338,900,3.3,26.2,14.86,421.8,637.4,215.6,0.338,322.1,0,0.26,1709,0.46,1721,0.28,54676,"--------","-------",1717,16513,0,501.6,609.2,107.7,0.177,282.5,0,0.407,1392,0.589,7538,0.004,50000,"--------","-------",5028,5213,198.9
"218",218,"Pocillopora",3,5,"IUI south",20220712.22,"N","7/12/2022",38348,900,3.4,26.2,14.86,555.1,907.2,352.1,0.388,384.8,0.03,0.63,1250,0.25,9087,0.12,345366,"--------","-------",3507,43041,0,750.1,895,144.9,0.162,275.9,0,0.456,2132,0.539,8613,0.005,50000,"--------","-------",5641,5844,177.3
"219",219,"Pocillopora",3,5,"IUI south",20220712.22,"N","7/12/2022",38359,900,3.4,26.1,14.86,339.4,491.8,152.4,0.31,295,0.01,0.04,3027,0.81,3686,0.16,141903,"--------","-------",3656,25293,0,448,536.4,88.4,0.165,232.8,0.11,0.468,1457,0.524,8485,0.008,50000,"--------","-------",5172,5526,193.4
"220",220,"Pocillopora",3,5,"IUI south",20220712.22,"N","7/12/2022",38370,900,3.4,26.1,14.86,423.7,688.4,264.7,0.385,338.2,0.12,0.29,939,0.48,3330,0.24,54788,"--------","-------",2433,14854,0,588.2,703.1,114.9,0.163,260.5,0,0.71,3259,0.264,19860,0.026,50000,"--------","-------",7755,8842,128.9
"221",221,"Stylophora",4,5,"IUI south",20220712.22,"N","7/12/2022",38432,630,3.6,26.2,14.84,1332.7,2170.7,837.9,0.386,822.9,0.35,0.67,1465,0.24,6546,0.09,474048,"--------","-------",2809,47087,0,2051.8,2172.5,120.8,0.056,1716.6,0,0.102,1093,0.896,4368,0.002,50000,"--------","-------",4032,4127,248
"222",222,"Stylophora",4,5,"IUI south",20220712.22,"N","7/12/2022",38443,900,3.7,26.2,14.84,566.7,1073.7,507,0.472,433.1,0.2,0.36,1132,0.45,2116,0.19,50000,"--------","-------",1678,10680,0,944.5,1125.1,180.6,0.161,315.8,0,0.247,1255,0.748,5216,0.005,57925,"--------","-------",4232,4500,236.3
"223",223,"Stylophora",4,5,"IUI south",20220712.22,"N","7/12/2022",38454,770.4,3.7,26.2,14.84,1086.9,1843.2,756.3,0.41,602.5,0.05,0.8,2979,0.08,2986,0.12,624022,"--------","-------",2979,74894,0,1549.7,1756.8,207.1,0.118,424.2,0.01,0.525,2187,0.47,7997,0.005,50000,"--------","-------",4931,5145,202.8
"224",224,"Stylophora",4,5,"IUI south",20220712.22,"N","7/12/2022",38464,671.1,3.7,26.2,14.83,994,1907.2,913.2,0.479,504.3,0.11,0.69,950,0.19,5586,0.13,74740,"--------","-------",1931,11100,0,1876.5,2106.1,229.6,0.109,362.1,0.01,0.16,1560,0.838,7928,0.002,50000,"--------","-------",6909,7008,144.7
"225",225,"Stylophora",4,5,"IUI south",20220712.23,"N","7/12/2022",38474,622.5,3.7,26.2,14.83,1085.8,2048,962.2,0.47,602.1,0.16,0.51,781,0.29,2456,0.21,51463,"--------","-------",1383,11702,0,1984.2,2157.8,173.6,0.08,767.8,0.01,0.3,1774,0.696,7067,0.003,50000,"--------","-------",5472,5622,182.8
"226",226,"Pocillopora",4,5,"IUI south",20220712.23,"N","7/12/2022",38537,900,3.6,26.1,14.81,532.4,854.2,321.8,0.377,383.7,0.06,0.32,1665,0.42,1670,0.26,55720,"--------","-------",1668,15898,0,753.8,905.4,151.6,0.167,302.4,0,0.678,1764,0.316,6738,0.006,69366,"--------","-------",3346,3710,298.8
"227",227,"Pocillopora",4,5,"IUI south",20220712.23,"N","7/12/2022",38553,870.5,3.6,26.2,14.8,951.4,1628.2,676.8,0.416,536.4,0.11,0.57,1220,0.25,3234,0.18,62373,"--------","-------",1835,12935,0,1542.4,1754.8,212.4,0.121,406.9,0.01,0.607,2187,0.388,11039,0.005,50000,"--------","-------",5641,5877,177.3
"228",228,"Pocillopora",4,5,"IUI south",20220712.23,"N","7/12/2022",38564,900,3.6,26.2,14.8,501.3,792.8,291.5,0.368,378.9,0.15,0.7,1442,0.15,7659,0.14,50000,"--------","-------",2563,9380,0,756,904,148,0.164,314.9,0,0.392,1750,0.571,6693,0.036,50000,"--------","-------",4681,6324,213.6
"229",229,"Pocillopora",4,5,"IUI south",20220712.23,"N","7/12/2022",38574,900,3.6,26.2,14.8,424.7,635.8,211.1,0.332,314.7,0.18,0.57,1700,0.35,6972,0.08,498535,"--------","-------",3684,44683,0,531.9,657.8,125.9,0.191,233.9,0,0.749,1574,0.244,16046,0.008,50000,"--------","-------",5127,5479,195.1
"230",230,"Pocillopora",4,5,"IUI south",20220712.23,"N","7/12/2022",38585,900,3.6,26.2,14.8,420.5,633.7,213.3,0.337,293.1,0.03,0.63,912,0.27,9986,0.1,654362,"--------","-------",3606,68386,0,513.9,631.7,117.8,0.186,226.2,0,0.604,1032,0.391,9391,0.006,50000,"--------","-------",4315,4567,231.7
"231",231,"Pocillopora",5,5,"IUI south",20220712.23,"N","7/12/2022",38606,900,3.4,26.2,14.79,723.8,1295.9,572.1,0.441,446.3,0.12,0.53,528,0.33,3081,0.14,60976,"--------","-------",1514,9625,0,1407.6,1606.7,199.1,0.124,346.1,0.01,0.3,1295,0.696,7608,0.004,50000,"--------","-------",5709,5889,175.2
"232",232,"Pocillopora",5,5,"IUI south",20220712.23,"N","7/12/2022",38619,900,3.4,26.2,14.79,703.1,1278.3,575.2,0.45,450,0.2,0.47,128,0.4,1667,0.13,50000,"--------","-------",834,7132,0,1193.3,1402.1,208.8,0.149,314.2,0,0.4,1085,0.594,7341,0.006,50000,"--------","-------",4827,5095,207.2
"233",233,"Pocillopora",5,5,"IUI south",20220712.23,"N","7/12/2022",38630,900,3.4,26.2,14.78,498.8,817.1,318.3,0.39,381.9,0.13,0.29,1707,0.51,1718,0.2,51915,"--------","-------",1714,11521,0,695.2,827.9,132.7,0.16,262.8,0,0.487,1675,0.507,11802,0.005,50000,"--------","-------",6839,7070,146.2
"234",234,"Pocillopora",5,5,"IUI south",20220712.23,"N","7/12/2022",38640,900,3.5,26.2,14.78,502.8,900.7,397.9,0.442,397.7,0.19,0.56,1353,0.29,11942,0.15,159592,"--------","-------",4991,27685,0,859.8,1011.6,151.8,0.15,270.3,0,0.412,2793,0.576,8992,0.012,50000,"--------","-------",6407,6910,156.1
"235",235,"Pocillopora",5,5,"IUI south",20220712.24,"N","7/12/2022",38650,900,3.4,26.2,14.78,222,336.1,114.1,0.339,242.3,0.15,0.52,1175,0.26,1394,0.21,50000,"--------","-------",1248,11630,200,276.1,346.6,70.5,0.203,186.8,0,0.337,543,0.659,6340,0.004,50000,"--------","-------",4378,4549,228.4
"236",236,"Stylophora",5,5,"IUI south",20220712.24,"N","7/12/2022",38725,808.9,3.6,26.1,14.76,1071.6,1911.8,840.2,0.439,550.9,0.16,0.62,955,0.27,4414,0.1,126807,"--------","-------",2011,14617,0,1804.3,2021,216.7,0.107,425,0.01,0.31,1501,0.686,6824,0.005,50000,"--------","-------",5168,5374,193.5
"237",237,"Stylophora",5,5,"IUI south",20220712.24,"N","7/12/2022",38736,712.4,3.6,26.2,14.77,969.5,1832.2,862.7,0.471,611.7,0.17,0.61,1124,0.29,4502,0.1,174886,"--------","-------",2220,18815,0,1843.6,2066.1,222.5,0.108,454.3,0,0.314,2027,0.66,5574,0.026,50000,"--------","-------",4432,5610,225.6
"238",238,"Stylophora",5,5,"IUI south",20220712.24,"N","7/12/2022",38748,900,3.7,26.1,14.75,564.5,1006.4,441.8,0.439,483.4,0.2,0.29,1548,0.5,1818,0.21,60449,"--------","-------",1720,14099,0,961.7,1137.2,175.5,0.154,348.1,0,0.365,1474,0.587,6350,0.048,50000,"--------","-------",4481,6683,223.2
"239",239,"Stylophora",5,5,"IUI south",20220712.24,"N","7/12/2022",38760,900,3.7,26.2,14.75,227.4,315.2,87.8,0.279,305.7,0.2,0.58,1634,0.27,12357,0.15,389248,"--------","-------",5065,62800,200,188.5,235.2,46.7,0.198,276.9,0,0.77,1595,0.099,42946,0.131,50000,"--------","-------",6327,12033,158
"240",240,"Stylophora",5,5,"IUI south",20220712.24,"N","7/12/2022",38775,900,3.7,26.2,14.75,348.7,558.9,210.1,0.376,352.7,0.1,0.49,1173,0.26,4193,0.25,50000,"--------","-------",2211,14221,0,500.3,604.8,104.6,0.173,273.6,0.15,0.669,2080,0.242,11986,0.089,50000,"--------","-------",4712,8751,212.2
"241",241,"Porites",3,5,"IUI south",20220712.24,"N","7/12/2022",38885,861.8,3.6,26.2,14.71,1008.7,1374.2,365.5,0.266,570.5,0.04,0.68,1332,0.23,9241,0.09,430058,"--------","-------",3327,41027,0,1211,1318.5,107.5,0.082,324.8,0,0.538,1551,0.457,9363,0.005,50000,"--------","-------",5139,5370,194.6
"242",242,"Porites",3,5,"IUI south",20220712.24,"N","7/12/2022",38932,900,3.5,26.1,14.7,543.3,641.7,98.4,0.153,372.2,0,0.19,1601,0.54,2092,0.27,108800,"--------","-------",1965,30515,0,533,585.2,52.2,0.089,321.7,0,0.548,2264,0.448,10301,0.004,50000,"--------","-------",5877,6060,170.2
"243",243,"Porites",3,5,"IUI south",20220712.24,"N","7/12/2022",38943,702.4,3.5,26.1,14.7,931.7,1248.5,316.8,0.254,519.8,0.02,0.21,1711,0.55,2800,0.24,79565,"--------","-------",2499,21066,0,1065,1161.8,96.8,0.083,336.6,0.01,0.623,2331,0.374,7685,0.003,50000,"--------","-------",4340,4464,230.4
