"","Coral","PIC","Prevalence","SITE","DEPTH","Site_Depth"
"115","Merulina","MKN8950",0,"IUI-S","45","IUI-S_45"
"116","Montipora","MKN8950",0,"IUI-S","45","IUI-S_45"
"117","Mycedium","MKN8950",0,"IUI-S","45","IUI-S_45"
"118","Oxypora","MKN8950",0,"IUI-S","45","IUI-S_45"
"119","Pachyseris","MKN8950",0,"IUI-S","45","IUI-S_45"
"120","Paramontastraea","MKN8950",0,"IUI-S","45","IUI-S_45"
"121","Pavona","MKN8950",0,"IUI-S","45","IUI-S_45"
"122","Platygyra","MKN8950",0,"IUI-S","45","IUI-S_45"
"123","Plerogyra","MKN8950",0,"IUI-S","45","IUI-S_45"
"124","Pocillopora","MKN8950",0,"IUI-S","45","IUI-S_45"
"125","Podbacia","MKN8950",0,"IUI-S","45","IUI-S_45"
"126","Porites","MKN8950",0,"IUI-S","45","IUI-S_45"
"127","Psammocora","MKN8950",0,"IUI-S","45","IUI-S_45"
"128","Sclerophyllia","MKN8950",0,"IUI-S","45","IUI-S_45"
"129","Seriatopora","MKN8950",0,"IUI-S","45","IUI-S_45"
"130","Siderastrea","MKN8950",0,"IUI-S","45","IUI-S_45"
"131","Stylophora","MKN8950",3,"IUI-S","45","IUI-S_45"
"132","Turbinaria","MKN8950",0,"IUI-S","45","IUI-S_45"
"133","Acanthastrea","MKN8968",0,"IUI-S","35","IUI-S_35"
"134","Acropora","MKN8968",2,"IUI-S","35","IUI-S_35"
"135","Alveopora","MKN8968",0,"IUI-S","35","IUI-S_35"
"136","Astrea","MKN8968",0,"IUI-S","35","IUI-S_35"
"137","Astreopora","MKN8968",0,"IUI-S","35","IUI-S_35"
"138","Blastomussa","MKN8968",0,"IUI-S","35","IUI-S_35"
"139","Coscinaraea","MKN8968",0,"IUI-S","35","IUI-S_35"
"140","Cynarina","MKN8968",0,"IUI-S","35","IUI-S_35"
"141","Cyphastrea","MKN8968",0,"IUI-S","35","IUI-S_35"
"142","Dipsastraea","MKN8968",1,"IUI-S","35","IUI-S_35"
"143","Echinophyllia","MKN8968",0,"IUI-S","35","IUI-S_35"
"144","Echinopora","MKN8968",0,"IUI-S","35","IUI-S_35"
