"","PIC","SITE","DEPTH"
"MKN9341","MKN9341","JG","25"
"MKN9342","MKN9342","JG","15"
"MKN9344","MKN9344","JG","15"
"MKN9345","MKN9345","JG","15"
"MKN9346","MKN9346","JG","15"
"MKN9347","MKN9347","JG","15"
"MKN9348","MKN9348","JG","15"
"MKN9350","MKN9350","JG","15"
"MKN9351","MKN9351","JG","15"
"MKN9352","MKN9352","JG","15"
"MKN9353","MKN9353","JG","15"
"MKN9354","MKN9354","JG","15"
"MKN9355","MKN9355","JG","15"
"MKN9356","MKN9356","JG","15"
"MKN9357","MKN9357","JG","15"
"MKN9358","MKN9358","JG","15"
"MKN9359","MKN9359","JG","15"
"MKN9360","MKN9360","JG","15"
"MKN9361","MKN9361","JG","15"
"MKN9362","MKN9362","JG","15"
"MKN9363","MKN9363","JG","15"
"MKN9364","MKN9364","JG","15"
"MKN9365","MKN9365","JG","15"
"MKN9366","MKN9366","JG","15"
"MKN9367","MKN9367","JG","15"
"MKN9368","MKN9368","JG","15"
"MKN9369","MKN9369","JG","15"
"MKN9371","MKN9371","JG","15"
"MKN9372","MKN9372","JG","5"
"MKN9373","MKN9373","JG","5"
"MKN9374","MKN9374","JG","5"
"MKN9377","MKN9377","JG","5"
"MKN9378","MKN9378","JG","5"
"MKN9379","MKN9379","JG","5"
"MKN9380","MKN9380","JG","5"
"MKN9381","MKN9381","JG","5"
"MKN9382","MKN9382","JG","5"
"MKN9384","MKN9384","JG","5"
"MKN9385","MKN9385","JG","5"
"MKN9386","MKN9386","JG","5"
"MKN9388","MKN9388","JG","5"
"MKN9389","MKN9389","JG","5"
"MKN9390","MKN9390","JG","5"
"MKN9391","MKN9391","JG","5"
"MKN9392","MKN9392","JG","5"
"MKN9394","MKN9394","JG","5"
"MKN9396","MKN9396","JG","5"
"MKN9397","MKN9397","JG","5"
"MKN9398","MKN9398","JG","5"
"MKN9399","MKN9399","JG","5"
"MKN9400","MKN9400","JG","5"
"MKN9401","MKN9401","JG","5"
"MKN8931","MKN8931","IUI-S","45"
"MKN8936","MKN8936","IUI-S","45"
"MKN8937","MKN8937","IUI-S","45"
"MKN8938","MKN8938","IUI-S","45"
"MKN8939","MKN8939","IUI-S","45"
"MKN8940","MKN8940","IUI-S","45"
"MKN8941","MKN8941","IUI-S","45"
"MKN8942","MKN8942","IUI-S","45"
"MKN8943","MKN8943","IUI-S","45"
"MKN8944","MKN8944","IUI-S","45"
"MKN8945","MKN8945","IUI-S","45"
"MKN8946","MKN8946","IUI-S","45"
"MKN8947","MKN8947","IUI-S","45"
"MKN8949","MKN8949","IUI-S","45"
"MKN8951","MKN8951","IUI-S","45"
"MKN8952","MKN8952","IUI-S","45"
"MKN8953","MKN8953","IUI-S","45"
"MKN8954","MKN8954","IUI-S","45"
"MKN8955","MKN8955","IUI-S","45"
"MKN8956","MKN8956","IUI-S","45"
"MKN8957","MKN8957","IUI-S","45"
"MKN8958","MKN8958","IUI-S","45"
"MKN8959","MKN8959","IUI-S","45"
"MKN8960","MKN8960","IUI-S","45"
"MKN8961","MKN8961","IUI-S","45"
"MKN8962","MKN8962","IUI-S","45"
"MKN8963","MKN8963","IUI-S","45"
"MKN8964","MKN8964","IUI-S","45"
"MKN8965","MKN8965","IUI-S","45"
"MKN8966","MKN8966","IUI-S","45"
"MKN8967","MKN8967","IUI-S","35"
"MKN8979","MKN8979","IUI-S","35"
"MKN8989","MKN8989","IUI-S","35"
"MKN8990","MKN8990","IUI-S","35"
"MKN9014","MKN9014","IUI-S","25"
"MKN9099","MKN9099","IUI-N","45"
"MKN9100","MKN9100","IUI-N","45"
"MKN9101","MKN9101","IUI-N","45"
"MKN9102","MKN9102","IUI-N","45"
"MKN9103","MKN9103","IUI-N","45"
"MKN9104","MKN9104","IUI-N","45"
"MKN9105","MKN9105","IUI-N","45"
"MKN9106","MKN9106","IUI-N","45"
"MKN9107","MKN9107","IUI-N","45"
"MKN9109","MKN9109","IUI-N","45"
"MKN9110","MKN9110","IUI-N","45"
"MKN9111","MKN9111","IUI-N","45"
"MKN9112","MKN9112","IUI-N","45"
"MKN9113","MKN9113","IUI-N","45"
"MKN9114","MKN9114","IUI-N","45"
"MKN9115","MKN9115","IUI-N","45"
"MKN9116","MKN9116","IUI-N","45"
"MKN9117","MKN9117","IUI-N","45"
"MKN9118","MKN9118","IUI-N","45"
"MKN9119","MKN9119","IUI-N","45"
"MKN9122","MKN9122","IUI-N","45"
"MKN9125","MKN9125","IUI-N","45"
"MKN9127","MKN9127","IUI-N","45"
"MKN9254","MKN9254","JG","45"
"MKN9255","MKN9255","JG","45"
"MKN9257","MKN9257","JG","45"
"MKN9258","MKN9258","JG","45"
"MKN9259","MKN9259","JG","45"
"MKN9260","MKN9260","JG","45"
"MKN9261","MKN9261","JG","45"
"MKN9262","MKN9262","JG","45"
"MKN9263","MKN9263","JG","45"
"MKN9264","MKN9264","JG","45"
"MKN9265","MKN9265","JG","45"
"MKN9266","MKN9266","JG","45"
"MKN9267","MKN9267","JG","45"
"MKN9268","MKN9268","JG","45"
"MKN9269","MKN9269","JG","45"
"MKN9270","MKN9270","JG","45"
